Instance;Fault Number;Optimum;Result;Precision;Execution Time
10.500+200.txt;200;500;379;0.758;47.212
10.500+50.txt;50;500;249;0.498;31.357
10.500-100.txt;-100;400;237;0.5925;44.742
10.500-200.txt;-200;300;151;0.5033333333333333;26.529
113.500-8.txt;-8;492;413;0.8394308943089431;68.793
144.500-12.txt;-12;488;450;0.9221311475409836;73.991
18.200+20.txt;20;200;124;0.62;14.576
18.200+80.txt;80;200;173;0.865;24.501
18.200-40.txt;-40;160;140;0.875;25.368
18.200-80.txt;-80;120;80;0.6666666666666666;12.669
20.300+120.txt;120;300;244;0.8133333333333334;36.358
20.300+30.txt;30;300;241;0.8033333333333333;34.535
20.300-120.txt;-120;180;152;0.8444444444444444;30.323
20.300-60.txt;-60;240;208;0.8666666666666667;34.478
25.500+200.txt;200;500;490;0.98;78.664
25.500+50.txt;50;500;241;0.482;36.071
25.500-100.txt;-100;400;325;0.8125;55.606
25.500-200.txt;-200;300;221;0.7366666666666667;36.442
28.500-18.txt;-18;482;344;0.7136929460580913;45.612
34.500-32.txt;-32;468;383;0.8183760683760684;57.489
35.200+20.txt;20;200;127;0.635;19.891
35.200-40.txt;-40;160;153;0.95625;24.899
35.200-80.txt;-80;120;111;0.925;22.027
53.500+200.txt;200;500;395;0.79;63.203
53.500+50.txt;50;500;210;0.42;29.073
53.500-100.txt;-100;400;293;0.7325;41.645
53.500-200.txt;-200;300;168;0.56;36.685
55.300+120.txt;120;300;246;0.82;35.462
55.300+30.txt;30;300;142;0.47333333333333333;19.787
55.300-120.txt;-120;180;136;0.7555555555555555;26.881
55.300-60.txt;-60;240;199;0.8291666666666667;32.864
55.400+160.txt;160;400;329;0.8225;40.471
55.400+40.txt;40;400;183;0.4575;25.176
55.400-160.txt;-160;240;157;0.6541666666666667;26.337
55.400-80.txt;-80;320;220;0.6875;33.405
58.300+120.txt;120;300;279;0.93;38.460
58.300+30.txt;30;300;105;0.35;24.584
58.300-120.txt;-120;180;137;0.7611111111111111;29.887
58.300-60.txt;-60;240;213;0.8875;40.199
59.500-2.txt;-2;498;313;0.6285140562248996;41.191
62.400+160.txt;160;400;301;0.7525;50.411
62.400+40.txt;40;400;197;0.4925;24.746
62.400-160.txt;-160;240;206;0.8583333333333333;35.597
62.400-80.txt;-80;320;293;0.915625;59.386
68.400+160.txt;160;400;337;0.8425;48.800
68.400+40.txt;40;400;184;0.46;32.802
68.400-160.txt;-160;240;144;0.6;23.877
68.400-80.txt;-80;320;255;0.796875;44.378
9.10-0.txt;0;10;9;0.9;3.751
9.200+20.txt;20;200;140;0.7;20.055
9.200+80.txt;80;200;200;1;32.645
9.200-40.txt;-40;160;160;1;28.649
9.200-80.txt;-80;120;120;1;23.896
